task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
29	98/a5a2c6	1625332	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 23:59:38.732	22m 15s	22m 15s	1569.9%	31 GB	38.1 GB	38 GB	24.5 GB
74	12/672d42	1659601	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (RAGH_153)	COMPLETED	0	2026-07-07 00:21:54.229	3h 28m 34s	3h 28m 33s	134.6%	34.2 GB	47 GB	128 GB	55.1 GB
76	22/35b988	1756008	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (RAGH_153)	COMPLETED	0	2026-07-07 03:50:27.839	1m 58s	1m 57s	394.9%	1.5 GB	1.6 GB	12.1 GB	45.3 MB
75	1e/165c79	1756015	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (RAGH_153)	COMPLETED	0	2026-07-07 03:50:27.846	22m 21s	22m 21s	167.6%	351.6 MB	810.2 MB	14.7 GB	111.9 KB
78	e3/ad947a	1759986	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (RAGH_153)	COMPLETED	0	2026-07-07 03:52:25.703	1h 18m 16s	1h 18m 16s	186.3%	53.7 GB	78.2 GB	95.2 GB	94.9 GB
80	8b/836889	1868119	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TABIX_BGZIP_TIDDIT_SV (RAGH_153)	COMPLETED	0	2026-07-07 05:10:41.529	664ms	178ms	88.4%	11 MB	662 MB	3.1 MB	696.3 KB
84	40/4577d7	1868325	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (RAGH_153)	COMPLETED	0	2026-07-07 05:10:42.255	835ms	286ms	1241.1%	4.3 MB	13.6 MB	746.6 KB	3.9 KB
83	6a/9f6eba	1868636	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (RAGH_153)	COMPLETED	0	2026-07-07 05:10:43.123	1.5s	0ms	69.6%	3.1 MB	16.7 MB	675.1 KB	1.5 KB
82	f1/a2f704	1868821	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (RAGH_153)	COMPLETED	0	2026-07-07 05:10:44.606	1.4s	0ms	73.7%	7.3 MB	24.9 MB	675.1 KB	1.5 KB
81	f1/020c3c	1869023	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (RAGH_153)	COMPLETED	0	2026-07-07 05:10:46.013	1.4s	0ms	81.4%	7.3 MB	24.9 MB	675.1 KB	1.4 KB
79	d3/d4e574	1795681	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_GERMLINE_MANTA:MANTA_GERMLINE (RAGH_153)	COMPLETED	0	2026-07-07 04:12:49.312	7h 46m 32s	7h 46m 32s	1200.5%	775.7 MB	2.1 GB	4.3 TB	147 MB
87	40/458d8d	2080664	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (RAGH_153)	COMPLETED	0	2026-07-07 11:59:21.495	452ms	134ms	1703.3%	8.2 MB	49.8 MB	336.2 KB	9.4 KB
88	40/f98a4d	2080672	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (RAGH_153)	COMPLETED	0	2026-07-07 11:59:21.507	1.3s	0ms	73.4%	6.7 MB	24.9 MB	264.6 KB	2.2 KB
86	c2/1f94a0	2081149	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (RAGH_153)	COMPLETED	0	2026-07-07 11:59:21.954	1.3s	0ms	83.3%	6.9 MB	24.9 MB	264.6 KB	2.8 KB
85	c1/620ece	2081348	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (RAGH_153)	COMPLETED	0	2026-07-07 11:59:22.848	1.3s	0ms	75.3%	6.7 MB	24.9 MB	264.6 KB	2.3 KB
89	63/18178f	2081565	NFCORE_SAREK:SAREK:MULTIQC	COMPLETED	0	2026-07-07 11:59:24.990	23.1s	22.4s	76.1%	959.9 MB	40.6 GB	77.5 MB	18 MB
