gene_id,chromosome,gene_name,start,end,strand,n_transcripts,n_loci
MEGF10,HiC_scaffold_1,MEGF10,2751592,2867287,-,1,1
LOC103098691,HiC_scaffold_1,LOC103098691,2900291,2901099,+,3,1
LOC100016685,HiC_scaffold_1,LOC100016685,2915505,2939200,-,1,1
SPMIP10,HiC_scaffold_1,SPMIP10,2987912,2988975,-,1,1
PHAX,HiC_scaffold_1,PHAX,3023512,3042961,-,2,1
ALDH7A1,HiC_scaffold_1,ALDH7A1,3048580,3099223,+,1,1
GRAMD2B,HiC_scaffold_1,GRAMD2B,3105469,3151693,-,8,1
LOC100017598,HiC_scaffold_1,LOC100017598,3174793,3177227,+,4,1
LOC130453516,HiC_scaffold_1,LOC130453516,3253164,425212816,-,2,3
ZNF608,HiC_scaffold_1,ZNF608,3687774,3943572,-,5,1
GADD45G,HiC_scaffold_1,GADD45G,4141200,4143376,+,1,1
LOC100010760,HiC_scaffold_1,LOC100010760,4187448,4351462,-,5,1
TMEM232,HiC_scaffold_1,TMEM232,4365140,4513070,+,2,1
MAN2A1,HiC_scaffold_1,MAN2A1,4789579,4987708,-,2,1
PJA2,HiC_scaffold_1,PJA2,5233474,5322397,+,14,1
FER,HiC_scaffold_1,FER,5380139,5573923,-,13,1
FBXL17,HiC_scaffold_1,FBXL17,5804669,6216051,+,2,1
LOC130458548,HiC_scaffold_1,LOC130458548,6181259,6231450,-,1,1
EFNA5,HiC_scaffold_1,EFNA5,6483575,6811161,+,2,1
LOC107648999,HiC_scaffold_1,LOC107648999,8102745,8104563,-,1,1
LOC130456102,HiC_scaffold_1,LOC130456102,8680994,8683071,-,1,1
LOC103092056,HiC_scaffold_1,LOC103092056,9086345,9086576,+,1,1
LOC103096762,HiC_scaffold_1,LOC103096762,10348517,10348965,+,1,1
LOC130458549,HiC_scaffold_1,LOC130458549,10916110,10931471,-,1,1
LOC103099043,HiC_scaffold_1,LOC103099043,10995345,11052242,-,3,1
NUDT12,HiC_scaffold_1,NUDT12,11051989,11077798,+,11,1
PDZPH1P,HiC_scaffold_1,PDZPH1P,11096718,11254843,+,4,1
MACIR,HiC_scaffold_1,MACIR,11452023,11508509,-,7,1
LOC130458137,HiC_scaffold_1,LOC130458137,11508137,11513212,+,1,1
PPIP5K2,HiC_scaffold_1,PPIP5K2,11555346,11666593,-,16,1
GIN1,HiC_scaffold_1,GIN1,11659929,11726508,+,4,1
PAM,HiC_scaffold_1,PAM,11765768,12100775,-,20,1
LOC103095575,HiC_scaffold_1,LOC103095575,12057729,12058078,+,1,1
LOC103094735,HiC_scaffold_1,LOC103094735,12226636,12227677,-,1,1
LOC100030497,HiC_scaffold_1,LOC100030497,12342206,12432561,+,3,1
LOC100030460,HiC_scaffold_1,LOC100030460,12460892,12557230,+,1,1
LOC103093786,HiC_scaffold_1,LOC103093786,12617847,12620796,+,1,1
LOC103093301,HiC_scaffold_1,LOC103093301,12950839,12953493,-,1,1
LOC130458551,HiC_scaffold_1,LOC130458551,13404831,13548974,-,1,1
LOC103092715,HiC_scaffold_1,LOC103092715,13548988,13579537,+,1,1
ST8SIA4,HiC_scaffold_1,ST8SIA4,13633255,13758410,+,1,1
LOC130458552,HiC_scaffold_1,LOC130458552,13981743,13983338,+,1,1
LOC103106048,HiC_scaffold_1,LOC103106048,14609772,14611051,-,1,1
LOC130458025,HiC_scaffold_1,LOC130458025,14783189,14805957,-,1,1
LOC100029309,HiC_scaffold_1,LOC100029309,14832961,14833673,-,1,1
CHD1,HiC_scaffold_1,CHD1,15357367,15481789,+,2,1
RGMB,HiC_scaffold_1,RGMB,15527703,15559658,-,6,1
LOC103103181,HiC_scaffold_1,LOC103103181,16606114,16830331,-,10,1
RIOK2,HiC_scaffold_1,RIOK2,16830563,16858200,+,1,1
LIX1,HiC_scaffold_1,LIX1,16868284,16919654,+,1,1
LNPEP,HiC_scaffold_1,LNPEP,16922663,17023378,-,2,1
ERAP1,HiC_scaffold_1,ERAP1,17197766,17221957,+,1,1
LOC103094548,HiC_scaffold_1,LOC103094548,17231579,17235598,-,1,1
PCSK1,HiC_scaffold_1,PCSK1,17619734,17669714,+,1,1
LOC103097505,HiC_scaffold_1,LOC103097505,18359303,18364422,+,2,1
ELL2,HiC_scaffold_1,ELL2,18425285,18520536,+,2,1
GLRX,HiC_scaffold_1,GLRX,18621908,18623916,+,1,1
RHOBTB3,HiC_scaffold_1,RHOBTB3,18643657,18740547,-,10,1
LOC100010920,HiC_scaffold_1,LOC100010920,18763103,18785465,+,1,1
SPATA9,HiC_scaffold_1,SPATA9,18819021,18830736,+,1,1
RFESD,HiC_scaffold_1,RFESD,18834178,18851903,-,6,1
GPR150,HiC_scaffold_1,GPR150,18885817,18888320,-,1,1
ARSK,HiC_scaffold_1,ARSK,18888362,18947925,-,6,1
LOC130458515,HiC_scaffold_1,LOC130458515,18904535,18907983,+,1,1
SKIC3,HiC_scaffold_1,SKIC3,18948051,19032592,+,9,1
FAM81B,HiC_scaffold_1,FAM81B,18996734,19132991,-,4,1
MCTP1,HiC_scaffold_1,MCTP1,19465590,19934219,+,11,1
SLF1,HiC_scaffold_1,SLF1,19937860,20025481,-,3,1
KIAA0825,HiC_scaffold_1,KIAA0825,20025477,20532352,+,9,1
LOC130457937,HiC_scaffold_1,LOC130457937,20412683,20421656,-,1,1
FAM172A,HiC_scaffold_1,FAM172A,20607631,21076177,+,25,1
LOC103106450,HiC_scaffold_1,LOC103106450,21056103,21094698,-,5,2
NR2F1,HiC_scaffold_1,NR2F1,21101371,21111208,-,1,1
LOC103094312,HiC_scaffold_1,LOC103094312,21123771,21214598,+,4,1
LOC103096110,HiC_scaffold_1,LOC103096110,21686190,21691252,-,1,1
LOC103096999,HiC_scaffold_1,LOC103096999,23372978,23756857,-,1,1
ARRDC3,HiC_scaffold_1,ARRDC3,23804690,23820921,+,3,1
LOC103097446,HiC_scaffold_1,LOC103097446,23918151,23937100,+,1,1
ADGRV1,HiC_scaffold_1,ADGRV1,24120629,24848131,-,1,1
LOC103098885,HiC_scaffold_1,LOC103098885,24191072,24196224,+,1,1
LOC103097675,HiC_scaffold_1,LOC103097675,24544177,24556337,+,2,1
LYSMD3,HiC_scaffold_1,LYSMD3,24868780,24883160,+,6,1
POLR3G,HiC_scaffold_1,POLR3G,24891413,24950728,-,3,1
MBLAC2,HiC_scaffold_1,MBLAC2,24950817,24966348,+,1,1
CETN3,HiC_scaffold_1,CETN3,25008944,25039525,+,2,1
LOC103101156,HiC_scaffold_1,LOC103101156,25620115,25623106,+,1,1
MEF2C,HiC_scaffold_1,MEF2C,26808762,27022708,+,13,1
LOC130458514,HiC_scaffold_1,LOC130458514,27064730,27091840,+,1,1
MIR9A-2,HiC_scaffold_1,MIR9A-2,27089192,27089278,+,1,1
MIR9C-2,HiC_scaffold_1,MIR9C-2,27089207,27089262,-,1,1
LOC103104796,HiC_scaffold_1,LOC103104796,27365340,27387700,-,1,1
TMEM161B,HiC_scaffold_1,TMEM161B,27513078,27566222,+,3,1
CCNH,HiC_scaffold_1,CCNH,28351190,28373839,+,1,1
RASA1,HiC_scaffold_1,RASA1,28376622,28472388,-,1,1
LOC130457463,HiC_scaffold_1,LOC130457463,28595605,28596314,-,1,1
LOC100011523,HiC_scaffold_1,LOC100011523,29078881,29084716,-,2,1
LOC130458654,HiC_scaffold_1,LOC130458654,29079174,29079236,-,1,1
LOC130458655,HiC_scaffold_1,LOC130458655,29083352,29083413,-,1,1
LOC100027643,HiC_scaffold_1,LOC100027643,29587309,29587712,-,1,1
LOC130458513,HiC_scaffold_1,LOC130458513,30072207,30087102,-,2,1
LOC100014146,HiC_scaffold_1,LOC100014146,30376188,30378887,-,1,1
LOC103106792,HiC_scaffold_1,LOC103106792,30415042,30422371,-,1,1
EDIL3,HiC_scaffold_1,EDIL3,31169733,31672419,+,2,1
LOC100017127,HiC_scaffold_1,LOC100017127,31184916,31185606,-,1,1
HAPLN1,HiC_scaffold_1,HAPLN1,32040588,32133966,+,3,1
LOC107651778,HiC_scaffold_1,LOC107651778,32094339,32097210,-,1,1
VCAN,HiC_scaffold_1,VCAN,32209655,32346322,-,2,1
XRCC4,HiC_scaffold_1,XRCC4,32454620,32727479,-,7,1
TMEM167A,HiC_scaffold_1,TMEM167A,32727605,32765278,+,1,1
LOC130458512,HiC_scaffold_1,LOC130458512,33375309,33383331,-,1,1
LOC100015251,HiC_scaffold_1,LOC100015251,33677207,33699194,-,1,1
LOC103095046,HiC_scaffold_1,LOC103095046,33732604,33735780,+,1,1
LOC100015376,HiC_scaffold_1,LOC100015376,33737012,33739375,+,1,1
ATG10,HiC_scaffold_1,ATG10,33749608,33985601,-,5,1
SSBP2,HiC_scaffold_1,SSBP2,34418623,34684422,+,6,1
ACOT12,HiC_scaffold_1,ACOT12,34724040,34796874,+,2,1
ZCCHC9,HiC_scaffold_1,ZCCHC9,34803859,34815544,-,7,1
CKMT2,HiC_scaffold_1,CKMT2,34838669,34907454,-,1,1
RASGRF2,HiC_scaffold_1,RASGRF2,34921902,35262613,-,4,1
LOC103099296,HiC_scaffold_1,LOC103099296,35008759,35009412,+,2,1
MSH3,HiC_scaffold_1,MSH3,35335503,35454100,-,1,1
LOC130458547,HiC_scaffold_1,LOC130458547,35478567,35517162,+,2,1
ZFYVE16,HiC_scaffold_1,ZFYVE16,35482640,35548613,-,2,1
CCDC125,HiC_scaffold_1,CCDC125,35576214,35613002,-,4,1
LOC100012489,HiC_scaffold_1,LOC100012489,35589460,35589871,-,1,1
AK6,HiC_scaffold_1,AK6,35626600,35636879,-,1,1
RAD17,HiC_scaffold_1,RAD17,35637126,35659062,+,3,1
MARVELD2,HiC_scaffold_1,MARVELD2,35659264,35685728,+,3,1
DHFR,HiC_scaffold_1,DHFR,35717448,35741787,+,1,1
LOC130458651,HiC_scaffold_1,LOC130458651,35732276,35732413,+,1,1
ANKRD34B,HiC_scaffold_1,ANKRD34B,35803145,35842197,-,6,1
OCLN,HiC_scaffold_1,OCLN,35906581,35964969,+,4,1
LOC103104144,HiC_scaffold_1,LOC103104144,35923372,35925739,-,1,1
GTF2H2,HiC_scaffold_1,GTF2H2,35971731,35995109,+,1,1
SMN1,HiC_scaffold_1,SMN1,36008833,36033504,-,2,1
LOC100011445,HiC_scaffold_1,LOC100011445,36045607,36051506,-,1,1
BDP1,HiC_scaffold_1,BDP1,36065310,36140819,+,2,1
LOC103097565,HiC_scaffold_1,LOC103097565,36118249,36125955,-,1,1
MCCC2,HiC_scaffold_1,MCCC2,36151492,36233749,+,1,1
CARTPT,HiC_scaffold_1,CARTPT,36266565,36273286,+,3,1
MAP1B,HiC_scaffold_1,MAP1B,36750107,36870779,+,3,1
MRPS27,HiC_scaffold_1,MRPS27,36882962,37019831,-,1,1
ZNF366,HiC_scaffold_1,ZNF366,37082178,37160313,+,1,1
PTCD2,HiC_scaffold_1,PTCD2,37268566,37290937,-,3,1
LOC107651694,HiC_scaffold_1,LOC107651694,37360901,37375698,+,1,1
LOC130456951,HiC_scaffold_1,LOC130456951,37495305,37495960,-,1,1
TNPO1,HiC_scaffold_1,TNPO1,37654767,37734185,+,1,1
FCHO2,HiC_scaffold_1,FCHO2,37762398,37900931,+,7,1
TMEM171,HiC_scaffold_1,TMEM171,37922070,37959918,+,1,1
FOXD1,HiC_scaffold_1,FOXD1,38389043,38407230,-,1,1
BTF3,HiC_scaffold_1,BTF3,38438887,38446541,+,2,1
ANKRA2,HiC_scaffold_1,ANKRA2,38483436,38504066,-,2,1
UTP15,HiC_scaffold_1,UTP15,38504181,38529218,+,1,1
ARHGEF28,HiC_scaffold_1,ARHGEF28,38597175,38973964,+,12,1
LOC130458518,HiC_scaffold_1,LOC130458518,39339902,39388185,+,1,1
LOC103092034,HiC_scaffold_1,LOC103092034,39521907,39544911,-,1,1
LOC103092272,HiC_scaffold_1,LOC103092272,39743142,39755618,+,1,1
LOC130458021,HiC_scaffold_1,LOC130458021,39824002,39836650,+,1,1
ENC1,HiC_scaffold_1,ENC1,39939525,39954816,-,1,1
GFM2,HiC_scaffold_1,GFM2,40025603,40091514,-,3,1
NSA2,HiC_scaffold_1,NSA2,40091519,40098556,+,1,1
FAM169A,HiC_scaffold_1,FAM169A,40106965,40169619,-,4,1
LOC130458520,HiC_scaffold_1,LOC130458520,40175737,40176170,-,1,1
LOC103106644,HiC_scaffold_1,LOC103106644,40287250,40287803,+,1,1
GCNT4,HiC_scaffold_1,GCNT4,40395137,40400354,-,1,1
ANKRD31,HiC_scaffold_1,ANKRD31,40462858,40611400,-,1,1
HMGCR,HiC_scaffold_1,HMGCR,40769194,40799019,+,2,1
CERT1,HiC_scaffold_1,CERT1,40815128,40906942,-,3,1
POLK,HiC_scaffold_1,POLK,40907422,41053595,+,5,1
ANKDD1B,HiC_scaffold_1,ANKDD1B,41063579,41156662,+,4,1
POC5,HiC_scaffold_1,POC5,41152162,41203780,-,3,1
LOC103098133,HiC_scaffold_1,LOC103098133,41167514,41185560,+,1,1
SV2C,HiC_scaffold_1,SV2C,41540788,41763503,+,1,1
LOC103102343,HiC_scaffold_1,LOC103102343,41798385,41851490,+,6,1
LOC103096331,HiC_scaffold_1,LOC103096331,41867272,41871641,+,1,1
LOC130458529,HiC_scaffold_1,LOC130458529,41868502,41873749,+,1,1
LOC130458527,HiC_scaffold_1,LOC130458527,41881471,41883217,+,1,1
LOC130458528,HiC_scaffold_1,LOC130458528,41891594,41893140,+,1,1
LOC130458526,HiC_scaffold_1,LOC130458526,41904754,41906145,+,1,1
LOC103098619,HiC_scaffold_1,LOC103098619,41908708,41910380,-,1,1
LOC103104682,HiC_scaffold_1,LOC103104682,41917276,41919426,-,1,1
LOC130458524,HiC_scaffold_1,LOC130458524,41922011,41928250,-,1,1
LOC130458130,HiC_scaffold_1,LOC130458130,41936862,41995498,-,1,1
LOC130458523,HiC_scaffold_1,LOC130458523,42016396,42048004,-,1,1
LOC130458521,HiC_scaffold_1,LOC130458521,42078889,42103540,+,1,1
LOC100010026,HiC_scaffold_1,LOC100010026,42132656,42431186,+,10,1
F2RL2,HiC_scaffold_1,F2RL2,42334524,42335823,-,1,1
F2R,HiC_scaffold_1,F2R,42464380,42468453,+,1,1
F2RL1,HiC_scaffold_1,F2RL1,42571221,42575162,+,1,1
S100Z,HiC_scaffold_1,S100Z,42610188,42614808,+,1,1
CRHBP,HiC_scaffold_1,CRHBP,42661792,42675262,+,1,1
AGGF1,HiC_scaffold_1,AGGF1,42736334,42794204,+,3,1
ZBED3,HiC_scaffold_1,ZBED3,42801784,42804954,-,2,1
LOC130458680,HiC_scaffold_1,LOC130458680,42806175,42806316,-,1,1
PDE8B,HiC_scaffold_1,PDE8B,42945159,43270765,+,3,1
WDR41,HiC_scaffold_1,WDR41,43266572,43340647,-,3,1
LOC103099356,HiC_scaffold_1,LOC103099356,43409085,43415628,-,2,2
OTP,HiC_scaffold_1,OTP,43450717,43461493,-,1,1
LOC103096349,HiC_scaffold_1,LOC103096349,43479209,43479660,-,1,1
TBCA,HiC_scaffold_1,TBCA,43531350,43543021,-,1,2
AP3B1,HiC_scaffold_1,AP3B1,43860920,44189737,-,9,1
LOC130458530,HiC_scaffold_1,LOC130458530,43879760,43910157,+,1,1
SCAMP1,HiC_scaffold_1,SCAMP1,44268654,44370410,+,3,1
LHFPL2,HiC_scaffold_1,LHFPL2,44379900,44598476,-,5,1
ARSB,HiC_scaffold_1,ARSB,44785704,44986201,-,1,1
DMGDH,HiC_scaffold_1,DMGDH,44997495,45088971,-,1,1
BHMT2,HiC_scaffold_1,BHMT2,45088808,45111727,+,2,1
JMY,HiC_scaffold_1,JMY,45188178,45270165,+,3,1
HOMER1,HiC_scaffold_1,HOMER1,45309504,45476224,-,10,1
TENT2,HiC_scaffold_1,TENT2,45510451,45613148,+,9,1
CMYA5,HiC_scaffold_1,CMYA5,45630773,45702207,+,1,1
LOC130458533,HiC_scaffold_1,LOC130458533,45631016,45635727,+,1,1
LOC130458532,HiC_scaffold_1,LOC130458532,45654765,45680613,-,2,1
MTX3,HiC_scaffold_1,MTX3,45908435,45920914,-,2,1
THBS4,HiC_scaffold_1,THBS4,45993856,46032601,+,1,1
SLC30A5,HiC_scaffold_1,SLC30A5,46065136,46118085,+,1,1
LOC103103375,HiC_scaffold_1,LOC103103375,46140409,46140820,+,1,1
CCNB1,HiC_scaffold_1,CCNB1,46142883,46152041,+,1,1
CENPH,HiC_scaffold_1,CENPH,46164037,46191753,+,1,1
MRPS36,HiC_scaffold_1,MRPS36,46192568,46204538,+,2,1
LOC103103838,HiC_scaffold_1,LOC103103838,46200148,46206086,-,1,1
CDK7,HiC_scaffold_1,CDK7,46207961,46239633,+,3,1
SERINC5,HiC_scaffold_1,SERINC5,46292218,46408910,+,2,1
LOC103102874,HiC_scaffold_1,LOC103102874,46642220,46662928,-,3,1
PIK3R1,HiC_scaffold_1,PIK3R1,47318988,47423157,-,4,1
LOC100032503,HiC_scaffold_1,LOC100032503,47707567,47710528,-,1,1
LOC103100233,HiC_scaffold_1,LOC103100233,47712894,47721826,+,1,1
CD180,HiC_scaffold_1,CD180,48538750,48552418,+,1,1
MAST4,HiC_scaffold_1,MAST4,48567452,49276640,-,18,1
LOC130458534,HiC_scaffold_1,LOC130458534,49226897,49235273,+,1,1
LOC130457655,HiC_scaffold_1,LOC130457655,49347353,49347454,-,1,1
SREK1,HiC_scaffold_1,SREK1,49668883,49706068,-,6,1
ERBIN,HiC_scaffold_1,ERBIN,49735336,49812184,-,6,1
TRAPPC13,HiC_scaffold_1,TRAPPC13,49829748,49872741,-,8,1
SHLD3,HiC_scaffold_1,SHLD3,49867546,49868526,-,1,1
NLN,HiC_scaffold_1,NLN,50090008,50227177,-,3,1
LOC130458537,HiC_scaffold_1,LOC130458537,50217485,50218253,+,1,1
SGTB,HiC_scaffold_1,SGTB,50226613,50267791,+,2,1
PPWD1,HiC_scaffold_1,PPWD1,50297271,50311483,+,1,1
TRIM23,HiC_scaffold_1,TRIM23,50316100,50330336,-,2,1
CENPK,HiC_scaffold_1,CENPK,50339824,50379715,+,6,1
ADAMTS6,HiC_scaffold_1,ADAMTS6,50420984,50768320,+,3,1
CWC27,HiC_scaffold_1,CWC27,50935955,51201723,-,2,1
SREK1IP1,HiC_scaffold_1,SREK1IP1,51202212,51254283,+,2,1
SHISAL2B,HiC_scaffold_1,SHISAL2B,51277857,51288608,-,1,1
RGS7BP,HiC_scaffold_1,RGS7BP,51380864,51502304,-,1,1
LOC100032364,HiC_scaffold_1,LOC100032364,51549742,51620975,+,2,1
LOC103092876,HiC_scaffold_1,LOC103092876,51578135,51605171,-,1,1
RNF180,HiC_scaffold_1,RNF180,51648711,51866724,-,8,1
LOC103097130,HiC_scaffold_1,LOC103097130,51893956,51895046,-,1,2
LOC103099058,HiC_scaffold_1,LOC103099058,51897978,51898149,+,1,1
HTR1A,HiC_scaffold_1,HTR1A,52099863,52108733,+,1,1
LOC130457623,HiC_scaffold_1,LOC130457623,52754951,52755167,+,1,1
IPO11,HiC_scaffold_1,IPO11,53258044,53462234,-,1,1
LRRC70,HiC_scaffold_1,LRRC70,53300239,53303175,-,1,1
DIMT1,HiC_scaffold_1,DIMT1,53467742,53485197,+,3,1
KIF2A,HiC_scaffold_1,KIF2A,53482089,53602316,-,4,1
LOC103103548,HiC_scaffold_1,LOC103103548,54200553,54256528,-,2,1
ZSWIM6,HiC_scaffold_1,ZSWIM6,54376688,54592680,-,1,1
SMIM15,HiC_scaffold_1,SMIM15,54819020,54823744,+,2,1
NDUFAF2,HiC_scaffold_1,NDUFAF2,54831489,55058844,-,3,1
ERCC8,HiC_scaffold_1,ERCC8,55058923,55120541,+,2,1
ELOVL7,HiC_scaffold_1,ELOVL7,55185838,55295999,+,2,1
DEPDC1B,HiC_scaffold_1,DEPDC1B,55315662,55365436,+,1,1
LOC130453573,HiC_scaffold_1,LOC130453573,56052994,56053957,-,1,1
LOC103099286,HiC_scaffold_1,LOC103099286,56107687,56174275,-,1,1
LOC100032166,HiC_scaffold_1,LOC100032166,56173839,57195664,+,5,1
RAB3C,HiC_scaffold_1,RAB3C,57313426,57647971,-,3,1
GAPT,HiC_scaffold_1,GAPT,57679413,57685074,-,1,1
PLK2,HiC_scaffold_1,PLK2,57721490,57729246,+,1,1
LOC103097735,HiC_scaffold_1,LOC103097735,57746144,57773855,+,1,1
LOC103097282,HiC_scaffold_1,LOC103097282,58318989,58338167,+,1,1
ACTBL2,HiC_scaffold_1,ACTBL2,59026747,59028477,+,1,1
LOC103096465,HiC_scaffold_1,LOC103096465,59083198,59123075,+,3,1
GPBP1,HiC_scaffold_1,GPBP1,59194210,59271527,+,3,1
MIER3,HiC_scaffold_1,MIER3,59477339,59514420,+,10,1
SETD9,HiC_scaffold_1,SETD9,59505102,59557293,-,5,1
MAP3K1,HiC_scaffold_1,MAP3K1,59587611,59660327,-,4,1
LOC100017394,HiC_scaffold_1,LOC100017394,59861772,59879130,-,2,1
LOC103099590,HiC_scaffold_1,LOC103099590,60124097,60124966,+,1,1
ANKRD55,HiC_scaffold_1,ANKRD55,60390218,60519331,+,3,1
LOC130458542,HiC_scaffold_1,LOC130458542,60630752,60644286,-,1,1
IL6ST,HiC_scaffold_1,IL6ST,60640316,60699257,+,14,1
IL31RA,HiC_scaffold_1,IL31RA,60713983,60818227,-,1,1
DDX4,HiC_scaffold_1,DDX4,60824262,60886033,-,3,1
LOC130458543,HiC_scaffold_1,LOC130458543,60898452,60899966,-,1,1
SLC38A9,HiC_scaffold_1,SLC38A9,60927655,61040767,+,5,1
LOC130454999,HiC_scaffold_1,LOC130454999,61086941,61093166,-,1,1
PLPP1,HiC_scaffold_1,PLPP1,61135232,61246000,+,5,1
MTREX,HiC_scaffold_1,MTREX,61245991,61325971,-,1,1
DHX29,HiC_scaffold_1,DHX29,61326020,61385664,+,3,1
CCNO,HiC_scaffold_1,CCNO,61401465,61405338,+,1,1
CDC20B,HiC_scaffold_1,CDC20B,61475381,61540110,+,1,1
GPX8,HiC_scaffold_1,GPX8,61491207,61496023,-,2,1
GZMA,HiC_scaffold_1,GZMA,61546394,61556400,-,1,1
LOC130453691,HiC_scaffold_1,LOC130453691,61605981,61606379,+,1,1
ESM1,HiC_scaffold_1,ESM1,61625507,61637568,-,1,1
SNX18,HiC_scaffold_1,SNX18,62039033,62205819,-,2,1
LOC103100864,HiC_scaffold_1,LOC103100864,62156676,62172149,+,1,1
LOC130458544,HiC_scaffold_1,LOC130458544,62206479,62207979,-,1,1
ARL15,HiC_scaffold_1,ARL15,62400973,62832291,+,13,1
ZBTB12,HiC_scaffold_1,ZBTB12,62548636,62550961,-,1,2
LOC130458545,HiC_scaffold_1,LOC130458545,62648992,62665296,+,1,1
NDUFS4,HiC_scaffold_1,NDUFS4,62992132,63112987,-,1,1
FST,HiC_scaffold_1,FST,63203138,63209988,-,3,1
MOCS2,HiC_scaffold_1,MOCS2,63637490,63655921,+,3,1
ITGA2,HiC_scaffold_1,ITGA2,63659466,63796642,-,1,1
ITGA1,HiC_scaffold_1,ITGA1,63808161,64013082,-,1,1
PELO,HiC_scaffold_1,PELO,63990399,63995259,-,1,1
LOC103095231,HiC_scaffold_1,LOC103095231,64732113,64733938,+,2,1
ISL1,HiC_scaffold_1,ISL1,65717333,65731188,-,1,1
LOC130458546,HiC_scaffold_1,LOC130458546,65731400,65754107,+,1,1
PARP8,HiC_scaffold_1,PARP8,66356894,66606221,+,13,1
LOC100010367,HiC_scaffold_1,LOC100010367,66564599,66565061,-,1,1
LOC103094008,HiC_scaffold_1,LOC103094008,66597999,66614337,+,1,1
LOC103101157,HiC_scaffold_1,LOC103101157,66695339,66699304,+,1,1
EMB,HiC_scaffold_1,EMB,66780019,66821443,+,1,1
LOC103101453,HiC_scaffold_1,LOC103101453,66827737,66899277,-,1,1
LOC130458510,HiC_scaffold_1,LOC130458510,66876399,66891822,-,1,1
HCN1,HiC_scaffold_1,HCN1,67247218,67780809,+,1,1
LOC130458507,HiC_scaffold_1,LOC130458507,68209120,68215296,+,1,1
MRPS30,HiC_scaffold_1,MRPS30,68461160,68470236,-,1,1
NNT,HiC_scaffold_1,NNT,69647254,69741173,-,3,1
PAIP1,HiC_scaffold_1,PAIP1,69764688,69807223,+,8,1
LOC130458506,HiC_scaffold_1,LOC130458506,69770330,69792115,-,1,1
C3H5orf34,HiC_scaffold_1,C3H5orf34,69815918,69842266,+,7,1
TMEM267,HiC_scaffold_1,TMEM267,69850271,69868521,+,6,1
NIM1K,HiC_scaffold_1,NIM1K,69930505,69953011,+,1,1
ZNF131,HiC_scaffold_1,ZNF131,70001281,70032706,+,9,1
SELENOP,HiC_scaffold_1,SELENOP,70170165,70177891,+,2,1
CCDC152,HiC_scaffold_1,CCDC152,70177787,70191365,-,3,1
LOC130458078,HiC_scaffold_1,LOC130458078,70207434,70207847,-,1,1
GHR,HiC_scaffold_1,GHR,70278327,70435801,-,1,1
LOC103093123,HiC_scaffold_1,LOC103093123,70579954,70649255,+,3,1
LOC103098641,HiC_scaffold_1,LOC103098641,70736896,70737439,+,1,1
FBXO4,HiC_scaffold_1,FBXO4,71067790,71088749,-,3,1
RIMOC1,HiC_scaffold_1,RIMOC1,71091355,71100458,-,1,1
OXCT1,HiC_scaffold_1,OXCT1,71143649,71249986,+,1,1
PLCXD3,HiC_scaffold_1,PLCXD3,71498477,71718163,+,1,1
C6,HiC_scaffold_1,C6,71768751,71829261,+,4,1
LOC107651781,HiC_scaffold_1,LOC107651781,71842193,71846283,-,1,1
MROH2B,HiC_scaffold_1,MROH2B,71891255,71980874,+,2,1
LOC130458504,HiC_scaffold_1,LOC130458504,71939027,71983400,-,2,1
