chrom	start	end	depth	flag
TG_CD1A	58972	59472	0.13	LOW(possible_deletion)
TG_CD1A	59472	59972	0.00	LOW(possible_deletion)
TG_CD1A	62472	62972	0.00	LOW(possible_deletion)
TG_CD1A	62972	63472	0.00	LOW(possible_deletion)
TG_CD1A	64472	64972	0.00	LOW(possible_deletion)
TG_CD1A	64972	65472	0.00	LOW(possible_deletion)
TG_CD1A	65472	65972	0.00	LOW(possible_deletion)
TG_CD1A	66472	66972	0.00	LOW(possible_deletion)
TG_CD1A	66972	67472	0.00	LOW(possible_deletion)
TG_CD1A	67472	67972	0.00	LOW(possible_deletion)
TG_CD1A	67972	68472	0.00	LOW(possible_deletion)
TG_CD1A	68472	68972	0.00	LOW(possible_deletion)
TG_CD1A	68972	69472	0.00	LOW(possible_deletion)
TG_CD1A	69472	69972	0.00	LOW(possible_deletion)
TG_CD1A	72972	73472	0.00	LOW(possible_deletion)
TG_CD1A	73972	74472	2.53	HIGH(possible_dup/rearr)
TG_CD1A	74472	74972	0.00	LOW(possible_deletion)
TG_CD1A	75472	75972	0.24	LOW(possible_deletion)
TG_CD1A	75972	76472	0.00	LOW(possible_deletion)
TG_CD1A	76472	76972	0.00	LOW(possible_deletion)
TG_CD1A	76972	77472	0.00	LOW(possible_deletion)
TG_CD1A	77972	78472	0.13	LOW(possible_deletion)
TG_CD1A	78472	78972	0.00	LOW(possible_deletion)
TG_CD1A	78972	79472	0.00	LOW(possible_deletion)
TG_CD1A	79472	79972	0.00	LOW(possible_deletion)
TG_CD1A	79972	80472	0.00	LOW(possible_deletion)
TG_CD1A	80472	80972	0.00	LOW(possible_deletion)
TG_CD1A	81472	81972	0.00	LOW(possible_deletion)
TG_CD1A	81972	82472	0.00	LOW(possible_deletion)
TG_CD1A	82472	82972	0.00	LOW(possible_deletion)
TG_CD1A	82972	83472	0.00	LOW(possible_deletion)
TG_CD1A	83472	83972	0.00	LOW(possible_deletion)
TG_CD1A	83972	84472	0.00	LOW(possible_deletion)
TG_CD1A	84472	84972	0.00	LOW(possible_deletion)
TG_CD1A	84972	85472	0.00	LOW(possible_deletion)
TG_CD1A	85472	85972	0.00	LOW(possible_deletion)
TG_CD1A	85972	86472	0.00	LOW(possible_deletion)
TG_CD1A	86472	86972	0.00	LOW(possible_deletion)
TG_CD1A	86972	87472	0.00	LOW(possible_deletion)
TG_CD1A	87472	87972	0.00	LOW(possible_deletion)
TG_CD1A	87972	88472	0.00	LOW(possible_deletion)
TG_CD1A	88472	88972	0.00	LOW(possible_deletion)
TG_CD1A	88972	89472	0.00	LOW(possible_deletion)
TG_CD1A	89472	89972	0.00	LOW(possible_deletion)
TG_CD1A	89972	90472	0.00	LOW(possible_deletion)
TG_CD1A	90472	90972	0.00	LOW(possible_deletion)
TG_CD1A	92972	93472	0.25	LOW(possible_deletion)
TG_CD1A	93472	93972	0.12	LOW(possible_deletion)
TG_CD1A	93972	94472	0.23	LOW(possible_deletion)
TG_CD1A	94472	94972	0.04	LOW(possible_deletion)
TG_CD1A	94972	95472	0.12	LOW(possible_deletion)
TG_CD1A	95472	95972	0.00	LOW(possible_deletion)
TG_CD1A	95972	96472	0.21	LOW(possible_deletion)
TG_CD1A	96472	96972	0.05	LOW(possible_deletion)
TG_CD1A	96972	97472	0.20	LOW(possible_deletion)
TG_CD1A	99972	100472	0.23	LOW(possible_deletion)
TG_CD1A	100972	101472	3.88	HIGH(possible_dup/rearr)
TG_CD1A	101972	102472	0.18	LOW(possible_deletion)
TG_CD1A	102472	102972	0.09	LOW(possible_deletion)
TG_CD1A	103472	103972	0.00	LOW(possible_deletion)
TG_CD1A	103972	104472	0.00	LOW(possible_deletion)
TG_CD1A	105472	105972	0.00	LOW(possible_deletion)
TG_CD1A	105972	106472	0.00	LOW(possible_deletion)
TG_CD1A	106472	106972	0.00	LOW(possible_deletion)
TG_CD1A	106972	107472	0.06	LOW(possible_deletion)
TG_CD1A	108472	108972	2.92	HIGH(possible_dup/rearr)
TG_CD1A	109472	109972	2.44	HIGH(possible_dup/rearr)
TG_CD1A	110472	110972	2.36	HIGH(possible_dup/rearr)
TG_CD1A	112472	112972	2.52	HIGH(possible_dup/rearr)
TG_CD1A	113472	113972	0.00	LOW(possible_deletion)
TG_CD1A	113972	114472	0.00	LOW(possible_deletion)
TG_CD1A	114472	114972	0.00	LOW(possible_deletion)
TG_CD1A	114972	115472	0.00	LOW(possible_deletion)
TG_CD1A	115472	115972	0.00	LOW(possible_deletion)
TG_CD1A	115972	116472	0.00	LOW(possible_deletion)
TG_CD1A	116472	116972	0.00	LOW(possible_deletion)
TG_CD1A	116972	117472	0.00	LOW(possible_deletion)
TG_CD1A	117472	117972	0.00	LOW(possible_deletion)
TG_CD1A	117972	118472	0.00	LOW(possible_deletion)
TG_CD1A	118972	119472	0.09	LOW(possible_deletion)
TG_CD1A	119972	120472	0.00	LOW(possible_deletion)
TG_CD1A	120472	120972	0.00	LOW(possible_deletion)
TG_CD1A	120972	121472	0.00	LOW(possible_deletion)
TG_CD1A	121472	121972	0.00	LOW(possible_deletion)
TG_CD1A	121972	122472	0.00	LOW(possible_deletion)
TG_CD1A	122472	122972	0.00	LOW(possible_deletion)
TG_CD1A	122972	123472	0.00	LOW(possible_deletion)
TG_CD1A	123472	123972	0.00	LOW(possible_deletion)
TG_CD1A	123972	124472	0.00	LOW(possible_deletion)
TG_CD1A	124472	124972	0.00	LOW(possible_deletion)
TG_CD1A	124972	125472	0.00	LOW(possible_deletion)
TG_CD1A	125972	126472	0.22	LOW(possible_deletion)
TG_CD1A	126472	126972	0.00	LOW(possible_deletion)
TG_CD1A	126972	127472	0.00	LOW(possible_deletion)
TG_CD1A	127472	127972	0.00	LOW(possible_deletion)
TG_CD1A	127972	128472	0.05	LOW(possible_deletion)
TG_CD1A	128472	128972	0.11	LOW(possible_deletion)
TG_CD1A	129972	130472	0.19	LOW(possible_deletion)
TG_CD1A	131472	131972	0.25	LOW(possible_deletion)
TG_CD1A	133472	133972	2.17	HIGH(possible_dup/rearr)
TG_CD1A	133972	134472	0.24	LOW(possible_deletion)
TG_CD1A	134472	134972	0.00	LOW(possible_deletion)
TG_CD1A	135472	135972	0.00	LOW(possible_deletion)
TG_CD1A	135972	136472	0.08	LOW(possible_deletion)
TG_CD1A	136472	136972	0.12	LOW(possible_deletion)
TG_CD1A	137972	138472	2.52	HIGH(possible_dup/rearr)
TG_CD1A	139472	139972	0.14	LOW(possible_deletion)
TG_CD1A	139972	140472	0.12	LOW(possible_deletion)
TG_CD1A	141972	142472	0.00	LOW(possible_deletion)
TG_CD1A	143472	143972	0.08	LOW(possible_deletion)
TG_CD1A	143972	144472	0.00	LOW(possible_deletion)
TG_CD1A	144472	144972	2.50	HIGH(possible_dup/rearr)
TG_CD1A	144972	145472	0.25	LOW(possible_deletion)
TG_CD1A	145472	145972	0.00	LOW(possible_deletion)
TG_CD1A	145972	146472	0.00	LOW(possible_deletion)
TG_CD1A	146472	146972	0.00	LOW(possible_deletion)
TG_CD1A	146972	147472	0.00	LOW(possible_deletion)
TG_CD1A	147472	147972	0.00	LOW(possible_deletion)
TG_CD1A	147972	148472	0.00	LOW(possible_deletion)
TG_CD1A	148472	148972	0.00	LOW(possible_deletion)
TG_CD1A	148972	149472	0.00	LOW(possible_deletion)
TG_CD1A	149472	149972	0.00	LOW(possible_deletion)
TG_CD1A	149972	150472	0.00	LOW(possible_deletion)
TG_CD1A	150472	150972	0.00	LOW(possible_deletion)
TG_CD1A	151472	151972	0.00	LOW(possible_deletion)
TG_CD1A	151972	152472	0.00	LOW(possible_deletion)
TG_CD1A	152472	152972	0.00	LOW(possible_deletion)
TG_CD1A	152972	153472	0.00	LOW(possible_deletion)
TG_CD1A	154972	155472	2.24	HIGH(possible_dup/rearr)
TG_CD1A	155472	155972	5.71	HIGH(possible_dup/rearr)
TG_CD1A	155972	156472	3.76	HIGH(possible_dup/rearr)
TG_CD1A	156472	156972	5.47	HIGH(possible_dup/rearr)
TG_CD1A	156972	157447	3.93	HIGH(possible_dup/rearr)
